Epoca	CrossEntropy	Accuracy
0	3.9579		13.97
1	3.3134		24.78
2	2.8459		28.92
3	2.4119		33.8
4	2.0825		43.64
5	1.8178		48.95
6	1.6185		51.57
7	1.4576		55.47
8	1.3223		56.89
9	1.1973		59.11
10	1.1004		60.02
11	1.0006		60.56
12	0.9219		63.74
13	0.8348		63.15
14	0.7614		63.95
15	0.6892		64.57
16	0.6225		63.96
17	0.5609		65.3
18	0.5132		64.97
19	0.4597		65.91
20	0.4191		65.27
21	0.3782		65.3
22	0.339		65.77
23	0.3109		65.62
24	0.2744		65.37
25	0.2481		66.63
26	0.2238		66.59
27	0.2032		67.1
28	0.193		67.18
29	0.1761		66.98
30	0.1573		67.35
31	0.1478		67.63
32	0.131		67.97
33	0.1274		67.41
34	0.1101		67.8
35	0.1054		68.08
36	0.0983		68.5
37	0.0992		68.65
38	0.0898		67.96
39	0.0833		68.55
40	0.0804		68.88
41	0.0704		68.92
42	0.0621		68.41
43	0.065		68.24
44	0.063		68.17
45	0.0627		69.06
46	0.0568		68.2
47	0.0513		69.12
48	0.0483		69.24
49	0.0438		69.13
50	0.0486		69.1
51	0.0426		68.86
52	0.0452		69.45
53	0.0396		69.24
54	0.036		69.06
55	0.0396		69.32
56	0.035		69.17
57	0.0306		68.34
58	0.0341		69.22
59	0.0349		69.58
60	0.0379		69.48
61	0.0321		69.58
62	0.0317		69.82
63	0.0246		69.87
64	0.0239		69.91
65	0.0265		69.48
66	0.0247		69.5
67	0.0224		69.83
68	0.0223		69.53
69	0.0234		69.84
70	0.0206		70.0
71	0.0189		69.78
72	0.0174		69.86
73	0.0193		69.74
74	0.0205		69.75
75	0.0193		70.03
76	0.0196		69.76
77	0.017		70.19
78	0.0177		69.98
79	0.017		69.53
80	0.0167		69.9
81	0.0163		70.03
82	0.0169		69.9
83	0.0156		69.37
84	0.0177		68.98
85	0.0176		69.71
86	0.0153		70.07
87	0.0141		69.89
88	0.0158		69.66
89	0.0141		70.04
90	0.0139		70.19
91	0.0146		69.92
92	0.0142		69.72
93	0.0118		69.96
94	0.0114		70.09
95	0.0157		70.39
96	0.0148		70.1
97	0.0146		70.46
98	0.011		70.71
99	0.0108		70.49
100	0.0108		70.5
101	0.0115		70.39
102	0.0115		70.36
103	0.0125		70.05
104	0.0106		70.5
105	0.0107		70.72
106	0.0111		70.17
107	0.0087		70.61
108	0.0107		70.21
109	0.0098		70.35
110	0.0084		70.61
111	0.0098		70.44
112	0.0078		70.24
113	0.0092		69.85
114	0.0094		70.24
115	0.0105		69.97
116	0.009		69.6
117	0.0117		70.0
118	0.0134		69.98
119	0.0105		70.19
120	0.0083		70.54
121	0.0062		70.68
122	0.008		69.94
123	0.0074		70.5
124	0.0075		70.64
125	0.0091		70.43
126	0.0076		70.41
127	0.0063		70.28
128	0.0074		70.43
129	0.0067		70.55
130	0.0079		70.18
131	0.0074		70.0
132	0.0068		70.08
133	0.0072		70.44
134	0.0067		70.56
135	0.0058		70.65
136	0.0058		70.58
137	0.0068		70.22
138	0.0061		70.27
139	0.0065		70.57
140	0.0057		70.75
141	0.0046		70.81
142	0.0052		70.66
143	0.0064		70.68
144	0.0064		70.38
145	0.0048		70.9
146	0.0044		70.63
147	0.0049		70.49
148	0.0048		70.8
149	0.007		69.96
150	0.0053		70.46
151	0.0036		70.93
152	0.0031		71.01
153	0.0024		71.17
154	0.0022		71.28
155	0.0022		71.14
156	0.002		71.34
157	0.0017		71.51
158	0.0019		71.45
159	0.0016		71.47
160	0.0018		71.56
161	0.0017		71.48
162	0.0015		71.59
163	0.0013		71.59
164	0.0015		71.64
165	0.0015		71.57
166	0.0014		71.67
167	0.0013		71.8
168	0.0015		71.54
169	0.0014		71.73
170	0.001		71.61
171	0.0011		71.68
172	0.0011		71.72
173	0.0012		71.76
174	0.0011		71.79
175	0.0013		71.74
176	0.0012		71.67
177	0.001		71.65
178	0.0012		71.76
179	0.0011		71.63
